Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,68.309998,68.500000,65.650002,65.650002,57.004658,32389300
2018-03-19,65.720001,65.879997,60.779999,60.860001,52.845440,41676900
2018-03-26,61.279999,63.400002,60.139999,62.209999,54.017666,33690600
2018-04-02,62.060001,65.160004,60.450001,63.380001,55.033592,36525300
2018-04-09,63.639999,64.529999,62.669998,63.430000,55.077003,31332400
2018-04-16,63.779999,68.919998,63.250000,65.120003,56.544449,48656800
2018-04-23,65.510002,71.080002,64.949997,69.949997,61.203041,42017600
2018-04-30,70.139999,70.629997,61.310001,63.099998,55.209614,71646400
2018-05-07,63.119999,65.610001,60.320000,64.410004,56.355797,56870900
2018-05-14,64.610001,67.070000,64.580002,64.919998,56.802010,36230200
2018-05-21,65.099998,66.589996,64.339996,66.029999,57.773216,25374500
2018-05-28,65.449997,66.029999,63.360001,64.070000,56.058311,33677000
2018-06-04,64.080002,66.070000,62.660000,66.029999,57.773216,37250100
2018-06-11,66.099998,70.250000,65.449997,70.089996,61.325531,53663600
2018-06-18,69.279999,72.919998,67.500000,72.180000,63.154182,42723400
2018-06-25,71.690002,72.220001,63.040001,64.349998,56.303295,56603200
2018-07-02,63.939999,66.730003,63.709999,66.480003,58.166946,24479300
2018-07-09,67.419998,70.339996,66.809998,68.629997,60.048100,39929300
2018-07-16,68.669998,68.779999,64.760002,65.260002,57.099510,30988500
2018-07-23,65.349998,67.050003,65.139999,66.669998,58.333187,25932400
2018-07-30,66.650002,67.660004,63.230000,64.889999,57.206947,35198200
2018-08-06,64.849998,69.389999,64.690002,69.050003,60.874386,43954700
2018-08-13,69.250000,74.239998,68.559998,73.680000,64.956192,39846100
2018-08-20,73.980003,74.900002,73.139999,74.080002,65.308846,26004000
2018-08-27,74.199997,75.309998,73.650002,75.239998,66.331497,23768200
2018-09-03,74.980003,77.419998,72.820000,77.290001,68.138771,43893300
2018-09-10,77.269997,78.500000,74.580002,76.910004,67.803764,28331500
2018-09-17,76.830002,79.970001,76.760002,79.589996,70.166443,43355800
2018-09-24,79.220001,79.430000,77.309998,78.720001,69.399460,37335400
2018-10-01,79.050003,80.559998,78.440002,78.669998,69.355377,26326100
2018-10-08,78.809998,80.529999,72.599998,74.580002,65.749626,49579100
2018-10-15,74.169998,75.620003,72.650002,74.180000,65.396996,39415500
2018-10-22,74.449997,74.940002,69.169998,70.120003,61.817707,35962800
2018-10-29,71.160004,74.910004,69.480003,73.089996,64.881416,33458100
2018-11-05,73.400002,81.279999,73.180000,79.830002,70.864464,45283800
2018-11-12,79.830002,82.150002,77.849998,79.330002,70.420624,34441000
2018-11-19,79.470001,80.070000,74.339996,75.180000,66.736702,25717400
2018-11-26,76.550003,81.650002,76.500000,80.199997,71.192909,72521900
2018-12-03,80.199997,80.669998,73.690002,74.089996,65.769112,56063300
2018-12-10,74.110001,75.669998,71.510002,71.879997,63.807297,52747100
2018-12-17,71.000000,71.980003,63.680000,63.700001,56.545982,62411900
2018-12-24,63.540001,66.239998,62.060001,65.190002,57.868649,32095500
2018-12-31,65.440002,67.430000,64.440002,66.820000,59.315586,29166200
2019-01-07,67.389999,69.739998,64.360001,65.809998,58.419014,61123900
2019-01-14,65.379997,65.779999,63.139999,65.519997,58.161591,66527900
2019-01-21,65.389999,66.320000,64.559998,65.449997,58.099445,33259600
2019-01-28,65.110001,66.660004,62.880001,65.220001,58.336487,50901900
2019-02-04,65.250000,66.379997,64.360001,65.010002,58.148659,34471000
2019-02-11,65.349998,69.870003,65.010002,69.529999,62.191593,44494600
